surveyuniqueid;Field;FieldOther;Whatisyourcurrentemploymentstatus;Employment;Gender;YearBorn;PHD10OTHERWISE;AverageRBudget;GovernmentFunds;useofsc;importance;frequence_of_purch;importancePrice;costMostExpensive;Purchase_collab;in_charge_purchase;collaboration_withFirm;price_latest_purchase;functionality_better_thanPrice;aReputation_better_thanPrice;cBrand_better_thanPrice;aReputation_better_thanC_brand;cBrand_better_thanFunctionality;aReputation_better_thanFunctiona;IR_input_from_others;IR_colleagues;IR_technical_conferences;IR_salespersons;IR_written_info;IR_brand;IR_peer_review;IR_previous_use;Ref_peer_reviewed_j;Ref_star_scientist;Ref_high_impact;Ref_industry_coauthor;Ref_firm_coauthor;Ref_in_high_impact_expensiveVSch;IR_colleagues_expensiveVScheap;Patents;ICA_exploration;ICA_firm_creation;ICA_licensing_income;ICA_negotiation_use;ICA_other;ICA_none;sumofpositiveICAS;Papers_published;Impact_factor;@5y_Impact_factor;Publications_HJ;US1EU0;IfindinputfromcolleaguesthatIamcurrentlycollaboratingorhavecolla;Ifindinputfromtechnicalconferencesworkshopsandfairsreliable;Ifindsalespersonsfromthefirmproducingandsellingtheinstrumentreli;Ifindwritteninformationwebsitesbrochuresofthefirmproducingandsel;Ifindthebrandofthefirmproducingandsellingtheinstrumentreliable;Ifindreferencesinpeerreviewedpaperstobereliable;Ifindreferencesinpeerreviewedpapersinhighimpactjournalstoberelia;CompletionStatus;Starttime;Closetime;ResponseDays1beforereminder2after1streminderbefore2nd3after3rdre;Budget_dummy;Age_dummy;Gov_dummy;ICAS_patent;pricemostexp;Response_half;Age_dummy1977;Impact_dummy7;Professor_responsehalf;Assocprofessor_responsehalf;Assistprofessor_responsehalf;Postdoc_responsehalf;PhDstudent_responsehalf;Impact_dummy8;Impact_dummy9;Young_highimpact7;Young_lowimpact7;Young_highlowimpact7;Young_highimpact9;Young_lowimpact9;Young_highlowimpact9
788;3; ;PhD student;5;2;1987;0; ;3;1;1;5;3;2;1;2;3;2;2;4;4;2;5;5;2;2;2;2;2;3;3;4;2;2;2;5;5;2;2; ;0;0;0;0;0;1;0;1; ; ;1;0; ; ; ; ; ; ; ;Complete / Closed;41396,77109;41396,77468;1; ;0;2; ;1;0;1; ; ; ; ; ;1; ; ; ; ; ; ; ; 
4064;1; ;Post-doc;4;2;1983;1; ;1;1;1;5;1;4;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41396,77315; ;1; ;0;1; ;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
772;1; ;PhD student;5;1;1982;0;1;2;1;1;4;3;4;1;2;2;3;2;2;4;2;5;5;2;2;2;3;2;3;2;2;2;3;2;5;5;2;2;1;0;0;0;0;0;1;0;5;3,73;4,24;1;0;1;3;4;3;2;3;3;Complete / Closed;41396,77577;41396,78047;1;0;0;1; ;2;0;1;0; ; ; ; ;1;0;0; ;1;1; ;1;1
615;4; ;Post-doc;4;1;1978;1;1;4;1;1;5;5;5;3; ;3;2;2;2;4;2;4;2;3;3;3;5;3;4;3;3;3;3;3;5;5;3;3;1;1;0;0;0;0;0;1;7;38,59;38,15;1;0;1;3;3;4;3;2;2;Complete / Closed;41396,78202;41396,78697;1;0;0;2; ;2;0;1;1; ; ; ;1; ;1;1;2; ;2;2; ;2
766;3; ;Professor;1;2;1967;1;2;2;1;1;4;4;4;2;4;3;3;2;4;4;2;4;4;2;2;4;4;3;4;4;3;5;5;5;5;5;4;2;0;0;0;0;0;0;1;0;30;31,03;33,587;1;0; ; ; ; ; ; ; ;Complete / Closed;41396,78417;41429,83959;1;1;0;1; ;2;1;0;1;2; ; ; ; ;1;1; ; ; ; ; ; 
2548;3; ;Post-doc;4;1;1977;1;2;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41396,78575; ;1;1;0;2; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
657;1; ;Associate professor;2;1;1970;1;2;3;1;1;4;2;4;3; ;3;3;3;2;4;2;5;4;2;2;3;4;3;5;4;2;4;4;4;4;4;3;2;0; ; ; ; ; ; ; ;15;15,28;14,9;1;0; ; ; ; ; ; ; ;Complete / Closed;41396,78828;41396,92117;1;1;0;2; ;2;0;0;1; ;1; ; ; ;1;1; ; ; ; ; ; 
192;3; ;Post-doc;4;1;1981;1;1;4;1;1;4;2;3;1;2;1;3;2;2;5;4;4;4;2;2;4;4;2;3;2;2;2;4;5;5;5;3;1;0;0;0;0;0;0;1;0;7;2,54;3,14;3;0; ; ; ; ; ; ; ;Complete / Closed;41396,79071;41407,56502;1;0;0;2; ;1;0;1;0; ; ; ;1; ;0;0; ;1;1; ;1;1
1808;1; ;Professor;1;2;1961;0;4;4;1;1;3;1;4;3; ;3;2;1;1;4;1;5;3;3;2;2;3;3;3;2;1;1;2;1;3;3;4;4;1;0;0;0;0;0;1;0;34;11,86;11,02;1;0; ; ; ; ; ; ; ;started but not completed;41396,79309; ;1;1;0;2; ;2; ;0;1; ; ; ; ; ;1;1; ; ; ; ; ; 
5315;1; ;Post-doc;4;1;1979;1;1;3;1;2;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41396,79843; ;1;0;0;2; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
245;1; ;PhD student;5;2;1987;0;2;1;1;1;5;2;4;1;2;2;2;1;2;4;2;5;5;2;2;1;3;2;3;3;3;2;3;3;3;3;2;2;0;0;0;0;0;0;1;0;1;5,21;5,76;1;0; ; ; ; ; ; ; ;Complete / Closed;41396,80028;41396,80427;1;1;0;1; ;2;0;1;0; ; ; ; ;1;0;0; ;1;1; ;1;1
146;3; ;Associate professor;2;1;1974;1;1;1;1;1;2;3;4;3; ;3;1;2;4;4;1;5;4;2;2;3;4;4;3;3;3;3;3;3;3;5;2;2;1;0;0;0;1;0;0;1;8;15,25;16,42;1;0;1;2;4;4;3;2;2;Complete / Closed;41396,80328;41396,80728;1;0;0;1; ;2;0;0;1; ;1; ; ; ;1;1; ; ; ; ; ; 
789;1; ;Post-doc;4;2;1982;1;1;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;Complete / Closed;41396,80943;41396,81032;1;0;0;2; ; ;0;1; ; ; ; ;1; ; ; ; ; ; ; ; ; 
405;3; ;Post-doc;4;1;1975;1;2;4;1;1;3;2;4;1;1;3;4;3;4;4;3;4;4;3;3;3;2;2;4;4;3;4;5;5;5;5;4;2;1;0;0;0;0;0;1;0;14;38,59;38,15;2;0; ; ; ; ; ; ; ;Complete / Closed;41396,81446;41396,82247;1;1;0;2; ;2;0;0;1; ; ; ;1; ;1;1; ; ; ; ; ; 
623;2; ;PhD student;5;2;1985;0;1;4;1;1;5;2;3;1;4;3;3;2;5;5;5;5;5;2;2;3;4;3;4;3;3;2;3;3;5;5;2;2;0;0;0;0;0;0;1;0;3;3,23;3,31;1;0; ; ; ; ; ; ; ;Complete / Closed;41396,81921;41396,82405;1;0;0;2; ;1;0;1;0; ; ; ; ;1;0;0; ;1;1; ;1;1
281;1; ;Associate professor;2;1;1960;1;1;3;1;1;3;3;3;1;2;3;3;1;2;4;4;4;4;2;2;2;3;3;4;2;4;2;2;2;2;2;4;4;1;0;0;0;0;0;1;0;20;3,39;3,45;3;0; ; ; ; ; ; ; ;Complete / Closed;41396,82196;41396,82662;1;0;0;2; ;1;0;0;0; ;1; ; ; ;0;0; ; ; ; ; ; 
243;1; ;PhD student;5;1;1984;0;3;4;1;1;4;2;4;1;2;1;3;2;1;2;1;3;2;2;1;3;4;3;4;2;1;1;2;1;3;3;1;1;0;0;0;0;0;0;1;0;2;4,81;5,15;1;0; ; ; ; ; ; ; ;Complete / Closed;41396,82913;41396,835;1;1;0;2; ;2;0;1;0; ; ; ; ;1;0;0; ;1;1; ;1;1
142;3; ;Other;6;1;1972;1;2;3;1;1;4;1;2;2;1;3;2;1;3;3;3;3;3;1;1; ; ; ; ; ; ;5;5;5;5;5;5;1;0;0;0;0;0;0;1;0;100;6,91; ;1;0; ; ; ; ; ; ; ;Complete / Closed;41396,83042;41396,83336;1;1;0;2; ;1;0;0; ; ; ; ; ; ;0;0; ; ; ; ; ; 
799;4; ;PhD student;5;1; ;0;1;4;1;1;3;2;4;1;4;2;1;2;1;2;2;4;2;3;1;4;4;3;3;2;2;2;2;2;3;3;2;2;0;0;0;0;0;0;1;0;4;6,91; ;1;0;1;3;2;2;1;3;1;Complete / Closed;41396,83465;41429,67631;1;0;0;2; ;2;1; ; ; ; ; ; ;2;0;0; ; ; ; ; ; 
2814;4; ;Other;6;1;1972;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41396,83646; ;1; ;0; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; 
227;4; ;Post-doc;4;1;1983;1;1;4;1;1;4;1;3;1;4;3;2;2;4;5;2;5;5;2;2;2;3;2;4;4;2;3;3;4;5;4;3;1;0;0;0;0;0;0;1;0;6;3,377;3,168;1;0;2;2;4;3;3;1;1;Complete / Closed;41396,84147;41396,8458;1;0;0;2; ;1;0;1;0; ; ; ;1; ;0;0; ;1;1; ;1;1
2687;2; ;PhD student;5;2;1986;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41396,84155; ;1; ;0; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1937;1; ;PhD student;5;2;1980;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41396,84238; ;1; ;0; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
427;3; ;Assistant professor;3;1;1975;1;2;3;1;1;3;1;4;1;4;2;4;2;2;3;2;4;3;2;2;4;3;3;3;3;3;2;2;2;5;4;2;1;0;0;0;0;0;0;1;0;11;7,38; ;1;0;1;2;2;2;2;2;1;Complete / Closed;41396,85023;41396,8562;1;1;0;2; ;2;0;0;1; ; ;1; ; ;0;0; ; ; ; ; ; 
270;2; ; ;1;1;1944;0;3; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1;2;2;2;2;2;2;Complete / Closed;41396,85258;41396,85427;1;1;0; ; ; ;0;0; ;1; ; ; ; ; ; ; ; ; ; ; ; 
741;3; ;Professor;1;1;1956;1; ; ;1;1;4;3;5;1;2;3;1;2;4;4;4;4;4;2;2;3;4;4;5;4;2;5;5;5;5;5;3;3;0;0;0;0;0;0;1;0;64;38,59;38,15;1;0; ; ; ; ; ; ; ;Complete / Closed;41396,85438;41396,85917;1; ;0; ; ;2;0;0;1;1; ; ; ; ;1;1; ; ; ; ; ; 
117;1; ;Other;6;2;1976;1;1;2;1;1;4;1;4;2;2;2;4;1;2;2;2;5;5;2;2;2;3;3;3;3;2;3;2;2;5;5;2;1;0;0;0;0;0;0;1;0;9;5,52;5,67;1;0;1;2;2;2;2;2;2;Complete / Closed;41396,855;41396,86297;1;0;0;1; ;2;0;0;0; ; ; ; ; ;0;0; ; ; ; ; ; 
40;3; ;Post-doc;4;1;1980;1;1;4;1;1;4;2;2;1;1;2;2;3;3;4;2;4;4;2;2;3;4;2;4;3;3;2;4;3;3;3;3;2;0; ; ; ; ; ; ; ;9;3,91;3,7;1;0;1;2;4;3;2;3;3;Complete / Closed;41396,8576;41396,86408;1;0;0;2; ;1;0;1;0; ; ; ;1; ;0;0; ;1;1; ;1;1
218;1; ;Associate professor;2;1;1967;1;2;1;1;1;2;3;5;1;4;2;4;1;3;3;3;3;5;2;2;3;3;3;3;3;5;3;4;5;5;5;3;2;0;0;0;0;0;0;1;0;30;6,345; ;5;0; ; ; ; ; ; ; ;Complete / Closed;41396,86041;41396,86476;1;1;0;1; ;2;0;0; ; ;1; ; ; ;0;0; ; ; ; ; ; 
248;1; ;Associate professor;2;2;1970;1;2;2;1;1;4;2;4;3; ;3;3;2;2;2;2;4;4;3;3;4;3;3;3;3;3;4;4;4;4;5;4;4;0;0;0;0;0;0;1;0;28;5,51;5,556;7;0;1;2;3;3;3;2;2;Complete / Closed;41396,86547;41396,87214;1;1;0;1; ;2;0;0;0; ;1; ; ; ;0;0; ; ; ; ; ; 
96;1; ;Other;6;1;1966;1;2;3;1;1;3;2;4;3; ;2;3;2;3;4;2;4;4;3;3;2;3;3;3;2;2;2;3;2;3;4;3;2;1;0;0;0;1;1;0;2;18;10,67;10,23;2;0; ; ; ; ; ; ; ;Complete / Closed;41396,86771;41396,87429;1;1;0;2; ;2;0;0;1; ; ; ; ; ;1;1; ; ; ; ; ; 
512;1; ;Assistant professor;3;1;1978;1;2;4;1;1;3;1;3;2;1;3;3;1;2;4;1;5;4;1;1;3;4;2;4;5;2;4;5;4;5;5;3;2;1;0;1;0;0;0;0;1;40;35,74;42,37;2;0;1;2;2;4;2;4;3;Complete / Closed;41396,87526;41396,88133;1;1;0;2; ;1;0;1;1; ; ;1; ; ;1;1;2; ;2;2; ;2
653;1; ;Associate professor;2;1;1965;1;2;3;1;1;4;2;4;1;2;2;3;2;2;3;2;4;4;2;2;2;3;2;3;2;3;2;3;3;3;3;3;2;0;0;0;0;0;0;1;0;60;17,225;15,88;2;0;2;2;4;4;3;3;2;Complete / Closed;41396,88488;41396,89239;1;1;0;2; ;2;0;0;1; ;1; ; ; ;1;1; ; ; ; ; ; 
2525;1; ;Professor;1;1;1965;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41396,88661; ;1; ;0; ; ; ; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; 
493;1; ;Post-doc;4;1;1978;1;2;2;1;1;2;1;3;3; ;3;3;2;2;3;2;4;4;2;2;3;4;2;3;2;3;2;5;4;5;5;2;2;1;0;1;0;1;1;0;3;6;14,619;17,551;1;0;1;2;3;2;2;2;3;Complete / Closed;41396,89169;41407,57087;1;1;0;1; ;1;0;1;1; ; ; ;1; ;1;1;2; ;2;2; ;2
277;1; ;Associate professor;2;1;1972;1;2;4;1;1;4;2;5;3; ;2;3;2;2;4;1;5;5;2;2;3;2;2;3;3;3;4;4;4;5;5;3;2;1;0;0;0;1;1;0;2;26;35,74;42,37;1;0;1;2;3;3;3;2;2;Complete / Closed;41396,89477;41396,90006;1;1;0;2; ;2;0;0;1; ;1; ; ; ;1;1; ; ; ; ; ; 
541;1; ;Associate professor;2;1;1957;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1;2;3;3;3;3;2;Complete / Closed;41396,89934;41396,90023;1;0;0;1; ; ;0;0; ; ;1; ; ; ; ; ; ; ; ; ; ; 
49;2; ;Other;6;2;1976;1;1;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1;2;3;3;3;3;2;Complete / Closed;41396,90029;41396,90168;1;0;0;2; ; ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; 
444;2; ;Professor;1;1;1955;0;2;4;1;2;3;3;4;1;2;2;4;2;2;4;2;4;3;2;2;3;2;1;3;3;3;1;3;3;5;3;3;2;1;0;1;0;1;0;0;2;20;38,59;38,15;5;0;1;2;3;4;3;2;2;Complete / Closed;41396,91648;41396,92608;1;1;0;2; ;2;0;0;1;1; ; ; ; ;1;1; ; ; ; ; ; 
285;3; ;Post-doc;4;1;1977;1;2;3;1;1;3;2;5;3; ;3;3;2;4;4;3;5;4;3;2;4;4;3;4;4;2;4;3;3;4;4;4;2;0;0;0;0;0;0;1;0;15;38,59;38,15;1;0; ; ; ; ; ; ; ;Complete / Closed;41396,93071;41396,93404;1;1;0;2; ;2;0;1;1; ; ; ;1; ;1;1;2; ;2;2; ;2
336;3; ;Other;6;1;1967;1;1;3;1;1;3;2;3;2;3;1;2;2; ;4;1;5;4;2;2;2;2;2;3;3;2;3;4;5;4;4;3;1;0;0;0;0;0;0;1;0;15;3,73;4,24;1;0;1;2;2;2;2;3;3;Complete / Closed;41396,93677;41396,94204;1;0;0;2; ;1;0;0;0; ; ; ; ; ;0;0; ; ; ; ; ; 
491;3; ;PhD student;5;2;1980;0;1;1;1;1;4;1;2;2;1;3;2;2;3;4;2;4;4;1;2;3;2;3;2;2;2;3;4;4;4;5;4;4;0;0;0;0;0;0;1;0;1; ; ; ;0; ; ; ; ; ; ; ;Complete / Closed;41396,93779;41396,94216;1;0;0;1; ;1;0;1; ; ; ; ; ;1; ; ; ; ; ; ; ; 
774;3; ;Associate professor;2;2;1963;1;3;1;1;1;4;1;4;3; ;2;4;2;2;4;2;4;4;2;2;4;3;3;4;3;2;2;2;4;4;4;2;2;0;0;0;0;0;0;1;0;20;9,03;10,322;1;0;1;3;3;3;3;2;2;Complete / Closed;41396,93907;41396,95523;1;1;0;1; ;2;0;0;1; ;1; ; ; ;1;1; ; ; ; ; ; 
21;3; ;PhD student;5;1;1992;0;1;3;1;1;5;3;3;3; ;2;3;2;2;4;2;4;4;1;1;4;4;3;3;3;2;3;3;3;3;3;3;2;0;0;0;0;0;0;1;0;1;1,96;1,85;1;0; ; ; ; ; ; ; ;Complete / Closed;41396,96735;41396,97382;1;0;0;2; ;1;0;1;0; ; ; ; ;1;0;0; ;1;1; ;1;1
48;1; ;Professor;1;1;1951;1;2;1;1;1;4;2;4;3; ;1;4;2;2;3;1;5;5;2;2;4;4;3;5;3;2;2;3;3;4;4;3;2;0;0;0;0;0;1;0;1;100;38,59;38,15;3;0;1;3;3;3;3;2;2;Complete / Closed;41397,02509;41397,03128;1;1;0;1; ;2;0;0;1;1; ; ; ; ;1;1; ; ; ; ; ; 
758;3; ;Professor;1;1;1967;1;2;4;1;1;3;1;3;3; ;3;3;2;2;3;1;5;5;2;2;2;4;4;4;3;2;3;4;4;5;5;4;2;0;0;0;0;0;0;1;0;70;3; ;6;0; ; ; ; ; ; ; ;Complete / Closed;41397,0442;41397,04812;1;1;0;2; ;1;0;0;0;1; ; ; ; ;0;0; ; ; ; ; ; 
393;1; ;Associate professor;2;1;1973;1;2;2;1;1;3;3;4;3; ;1;4;1;1;2;1;5;1;4;1;3;3;3;4;1;1;1;1;1;5;5;1;1;1;1;1;0;0;0;0;2;15;9,765;10,342;1;0; ; ; ; ; ; ; ;Complete / Closed;41397,25175;41397,25888;1;1;0;1; ;2;0;0;1; ;1; ; ; ;1;1; ; ; ; ; ; 
440;1; ;PhD student;5;1;1982;0;2;1;1;2;4;2;3;3; ;2;2;2;2;2;3;3;3;2;2;3;2;2;4;3;3;2;2;3;4;4;3;1;1;0;0;0;0;1;0;1;1;0,88;0,78;1;0; ; ; ; ; ; ; ;Complete / Closed;41397,29291;41397,29734;1;1;0;1; ;1;0;1;0; ; ; ; ;1;0;0; ;1;1; ;1;1
3913;3; ;PhD student;5;2;1981;0;1;4;1;1;5;1;1;3; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41397,31096; ;1;0;0;2; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; 
369;1; ;PhD student;5;1;1982;0;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;Complete / Closed;41397,32614;41397,32814;1;0;0;1; ; ;0;1; ; ; ; ; ;1; ; ; ; ; ; ; ; 
738;4; ;Other;6;1;1968;0;1;4;1;1;3;5;2;3; ;3;2;1;3;3;2;5;4;2;2;3;4;3;3;3;2;4;5;5;5;5;4;2;0; ; ; ; ; ; ; ;8;2,361;2,48;1;0; ; ; ; ; ; ; ;Complete / Closed;41397,33194;41397,33723;1;0;0;2; ;1;0;0;0; ; ; ; ; ;0;0; ; ; ; ; ; 
5574;1; ;Other;6;2;1964;0;2;2;1;1; ;2;4;2;2;3;3;2;2;2;2;4;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;started but not completed;41397,33634; ;1;1;0;1; ;2; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; 
604;3; ; ;6;1;1964;1;1;4;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0; ; ; ; ; ; ; ;Complete / Closed;41397,33648;41397,33933;1;0;0;2; ; ;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; 
